"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"13.76667",52.9968911943465,18.2256256732633,132.202668569069,9.54503026549646,204.369958550075
"13.80000",50.583674839392,17.2475856751073,126.975294412318,8.97940972557419,196.815847739122
"13.83333",67.8470107208574,23.0958811288492,170.514625098463,12.0104193509261,264.439165671014
"13.86667",67.8470107208574,23.0927133873576,170.531720507081,12.0076281162949,264.477017111497
"13.90000",67.8470107208574,23.0895463821752,170.548815363737,12.0048377545965,264.514868698166
"13.93333",67.8470107208574,23.0863801130098,170.565909668723,12.0020482654375,264.552720431418
"13.96667",67.8470107208574,23.083214579569,170.583003422332,11.9992596484254,264.59057231165
"14.00000",67.8470107208574,23.0800497815608,170.600096624857,11.9964719031675,264.628424339259
"14.03333",67.8470107208574,23.0768857186932,170.617189276589,11.9936850292716,264.666276514642
"14.06667",67.8470107208574,23.0737223906746,170.634281377821,11.9908990263456,264.704128838195
"14.10000",67.8470107208574,23.0705597972133,170.651372928845,11.9881138939977,264.741981310314
"14.13333",67.8470107208574,23.0673979380181,170.668463929952,11.9853296318364,264.779833931396
"14.16667",67.8470107208574,23.0642368127977,170.685554381434,11.9825462394704,264.817686701835
"14.20000",67.8470107208574,23.0610764212611,170.702644283582,11.9797637165086,264.855539622028
"14.23333",67.8470107208574,23.0579167631174,170.719733636687,11.9769820625603,264.893392692368
"14.26667",67.8470107208574,23.0547578380761,170.736822441042,11.9742012772349,264.931245913252
"14.30000",67.8470107208574,23.0515996458465,170.753910696935,11.9714213601421,264.969099285073
"14.33333",67.8470107208574,23.0484421861384,170.770998404658,11.9686423108918,265.006952808227
"14.36667",67.8470107208574,23.0452854586617,170.788085564501,11.9658641290943,265.044806483107
"14.40000",67.8470107208574,23.0421294631263,170.805172176756,11.96308681436,265.082660310106
"14.43333",67.8470107208574,23.0389741992425,170.822258241711,11.9603103662996,265.12051428962
"14.46667",67.8470107208574,23.0358196667207,170.839343759656,11.9575347845241,265.158368422041
"14.50000",67.8470107208574,23.0326658652715,170.856428730883,11.9547600686445,265.196222707762
"14.53333",67.8470107208574,23.0295127946054,170.873513155679,11.9519862182724,265.234077147176
"14.56667",67.8470107208574,23.0263604544336,170.890597034335,11.9492132330194,265.271931740676
"14.60000",67.8470107208574,23.023208844467,170.90768036714,11.9464411124975,265.309786488654
"14.63333",67.8470107208574,23.0200579644169,170.924763154383,11.9436698563188,265.347641391503
"14.66667",67.8470107208574,23.0169078139948,170.941845396353,11.9408994640958,265.385496449614
"14.70000",67.8470107208574,23.0137583929122,170.958927093338,11.938129935441,265.423351663379
"14.73333",67.8470107208574,23.0106097008809,170.976008245627,11.9353612699675,265.461207033188
