"","DBN","BN","Printed_Name","TotStudnts","School_Type","LangClass","APCourses","LeaderSupport","Sports","OnlineAP","OnlineLang","School_Type2","neighborhood","postalCode","precinct","school_district","lat","lon","Location","Boro","CouncilDistrict","CensusTract","grad2011","collenroll2011","grad2012","collenroll2012","sprtcode","apcode","langcode","leadcode","onlineapcode","onlinelangcode"
"30","02M414","M414","NYC Museum School","480",NA,"Japanese, Spanish","Biology, English Literature and Composition, United States History","Chess, Drama, Environmental, Find Your Voice acting and playwriting workshops, Glamour Gals, Hudson Sailing program, Music, Night of Excellence semi-annual presentations, Photography, Student Government and Activities Council, Yearbook design","Dance Team",NA,NA,NA,"Chelsea","10,011",10,2,40.7422594,-74.0024998,"333 West 17 Street
New York, NY 10011
(40.7422594, -74.0024998)","MANHATTAN",3,"83",98,71.7,100,85.7,"1","1","1","1","0","0"
"31","02M416","M416","Eleanor Roosevelt High School","516",NA,"French, Spanish","Art History, Biology, Calculus AB, Calculus BC, Chemistry, Economics: Macro, English Literature and Composition, European History, Government and Politics: Comparative, Music Theory, Physics B, Statistics, Studio Art: 3-D Design, United States History","Art Gallery, Black History Month, CANstruction, Cheerleading, Chess, Dance, Debate, Drama, ElRo Ambassadors, ElRo Sibs, Fed Challenge, Film Club,Gay-Straight Alliance, Glee Club, Green Team, Human Rights, Jazz Ensemble, Making a Difference, Math Club, Mock Trial, Model United Nations, National Honor Society, ""Pawprint"" Online Newspaper, Peer Tutoring and Mentoring, Philosophy, Recording and Sound Engineering Group, Senior Class Council, Ski/Snowboarding, Student Government, Student Movement Against Cancer (SMAC), Technology Club, World Quest, Wounded Warrior Fashion Show","Volleyball",NA,"Chinese (Mandarin)",NA,"Upper East Side","10,021",19,2,40.7702094,-73.9534879,"411 East 76 Street
New York, NY 10021
(40.7702094, -73.9534879)","MANHATTAN",5,"132",100,96.9,97.8,97.4,"1","1","1","1","0","1"
"32","02M418","M418","Millennium High School","658",NA,"Chinese (Mandarin), Spanish","Calculus AB, English Language and Composition, English Literature and Composition, United States History","American Sign Language, Animal Protection, Art Therapy, Best Buddies, Chess, Cooking, Dance Team, Drama, Greek Culture, Green Team (environmental awareness and action), Fitness, Foreign Exchange Program (two or more yearly trips), Gay-Straight Alliance, Knitting, Latin, Literary Magazine, Model United Nations, Newspaper, Photography, School of Rock (after-school music program), Senior Officers, Shakespeare Monologue Competition, Student Government & Ethics (SGE), Trinity Choristers, Yoga","Running/Track, Soccer, Table Tennis, Ultimate Frisbee, Volleyball",NA,NA,NA,"Financial District","10,004",1,2,40.7045644,-74.0115607,"75 Broad Street
New York, NY 10004
(40.7045644, -74.0115607)","MANHATTAN",1,"9",97.3,88,100,84.2,"1","1","1","1","0","0"
"33","02M419","M419","Landmark High School","396",NA,"Spanish",NA,"After-school Homework Help, Cheerleading, Culinary Arts, Salsa, College Preparatory Workshops, Internships, Music, Visual Arts, Step Team, Student Council, Yearbook","Co-ed Intramural Softball, Flag Football",NA,NA,NA,"Chelsea","10,011",10,2,40.743436,-74.0031734,"351 West 18 Street
New York, NY 10011
(40.743436, -74.0031734)","MANHATTAN",3,"89",53.1,55.9,50.9,43.2,"1","0","1","1","0","0"
"34","02M420","M420","High School for Health Professions and Human Services","1,726",NA,"Spanish","Biology, Calculus AB, Chemistry, English Literature and Composition, Government and Politics: Comparative, Physics B, Spanish Language, United States History, World History","After-school Tutoring, Art, Ballroom Dancing, Band, Big Brothers Big Sisters of NYC, Book Club, Cheerleading, Chess, Comprehensive Development Corporation (Naviance: Online College Tracking Tool), Computer, Creative Writing, Dance Club, Dancing Classrooms High School Rainbow Team Match Competition, Digital Photography, Festival of the Arts, Friends of Latin America (FOLA), Gay/Straight Alliance, Government, Leadership Class, Multicultural Shows, National Honor Society, Nursing, Pace Liberty Partnership, Peer Tutoring, Poetry, Printmaking, REACH (Rewarding Achievement - Incentive program for Advanced Placement courses), Recipe Writing/Cooking, Rise to College, SAT Prep, School Newspaper, Science Research, Senior Class Government, Sponsors for Educational Opportunity (SEO) Scholars Program, Student Government, Teen Talk, Trips to Theater Productions, United Nations, Webmasters, Weight Training, Word Game, Yearbook",NA,NA,NA,NA,"Gramercy","10,003",13,2,40.732417,-73.982768,"345 East 15 Street
New York, NY 10003
(40.732417, -73.982768)","MANHATTAN",2,"48",82.4,69.5,88.2,72,"0","1","1","1","0","0"
"35","02M422","M422","Quest to Learn","340",NA,"French, Spanish","Art History, Biology, Calculus AB, Chemistry, English Literature and Composition, Environmental Science, Government and Politics: United States","Citywide Math Olympiad, Dance, Drama, Ensemble Band, Fairness Club, Fashion Club, Gamestar Mechanic, Internships, Media Arts, Mindcraft, Model United Nations, Musical Theater, Peer Mediation, Playforce-Video Game Playtesting, Q2L Ambassadors, Robotics, Short Circuit (Engineering and Design), Student Government, Technology, Visual Arts, Yoga","Cheerleading; we plan to offer Swimming",NA,"Chinese (Mandarin), German, Latin",NA,"Chelsea","10,011",10,2,40.743436,-74.0031734,"351 West 18 Street
New York, NY 10011
(40.743436, -74.0031734)","MANHATTAN",3,"89",NA,NA,NA,NA,"1","1","1","1","0","1"
"36","02M425","M425","Leadership and Public Service High School","640",NA,"French, Spanish","Art History, Calculus AB, English Language and Composition, English Literature and Composition, Government and Politics: Comparative, Spanish Literature, United States History, World History","Art Studio, Band, Book Club, Chess, Chronos History, Community Service, Debate Team, Earth Day, Film, Gay/Straight Alliance, Greenclub, Internships, Kaplan SAT Preparation, Leadership Dance Team, Mentorship, Model United Nations, Moot Court and Mock Trial Teams, Musical Theatre, National Honor Society, Participation in lower Manhattan activities, Percussion, Poetry Club, REACH Advanced Placement Program, Runners, School Newspaper, Student Government, Yearbook",NA,"Biology, Chemistry, Economics: Macro, Economics: Micro, Environmental Science, European History, Latin Literature, Physics B","Chinese, Classical Greek, Hebrew, Japanese, Latin, Russian",NA,"Financial District","10,006",1,2,40.7088508,-74.0123657,"90 Trinity Place
New York, NY 10006
(40.7088508, -74.0123657)","MANHATTAN",1,"13",79.1,38.5,59.2,48.6,"0","1","1","1","1","1"
"37","02M427","M427","Manhattan Academy for Arts & Language","266",NA,"Spanish",NA,"Culture Club, Guitar and Violin Program, Leadership, Student Government, Tutoring, Urban Arts Program: Photography, Documentary & Filmmaking",NA,NA,NA,NA,"Kips Bay","10,016",14,2,40.7463587,-73.9811433,"111 East 33 Street
New York, NY 10016
(40.7463587, -73.9811433)","MANHATTAN",2,"72",NA,NA,NA,NA,"0","0","1","1","0","0"
"38","02M432","M432","Murray Hill Academy","286",NA,"Spanish",NA,"After-school Support, Tutoring and Regents Preparation (STARS); Saturday Tutoring, Community Service with Street Soldiers, Dance, Step, Film, Green Team, Mentoring, Creative Writing, Year Book, MOUSE Squad/Tech Squad, Capoeira, National Honor Society, NYPD Youth Explorers, Opening Act Theater, Peer Mediation, School Newspaper ""Paw Print"", SOSA School Beautification, Student Government, Gamers Club","In our Physical Education classes all students get introduced to Badminton, Basketball, Fitness Center (Strength and Conditioning), Floor Hockey, Handball, Scooter Ball, Volleyball, Whiffleball. As we expand, we plan to offer additional PSAL and intramural sports.","Biology, Environmental Science, United States History, World History","Arabic, Chinese, French, German, Italian, Japanese, Korean, Spanish",NA,"Kips Bay","10,016",14,2,40.7463587,-73.9811433,"111 East 33 Street
New York, NY 10016
(40.7463587, -73.9811433)","MANHATTAN",2,"72",NA,NA,NA,NA,"1","0","1","1","1","1"
"39","02M437","M437","Hudson High School of Learning Technologies","348",NA,"Spanish",NA,"Students participate in various clubs and activities including Art, Music and Dance clubs. Other available clubs include Photography, Knitting, Museum, Science, French and Comic Book. Peer Tutoring is available daily and Student Government plays an active role on campus. Hudson High School has an award-winning MOUSE Squad; visit this website for more information about MOUSE Squad: www.mousesquad.org.","A range of PSAL, Varsity and Junior Varsity, sports teams through collaboration with the schools located on the Humanities Campus","Biology, Calculus AB, English Literature and Composition, United States History","Chinese, English, French, German, Italian, Latin",NA,"Chelsea","10,011",10,2,40.743436,-74.0031734,"351 West 18 Street
New York, NY 10011
(40.743436, -74.0031734)","MANHATTAN",3,"89",NA,NA,NA,NA,"1","0","1","1","1","1"
"40","02M438","M438","International High School at Union Square","254","International School",NA,NA,"Before- and After-school Tutoring, Film Club, Student Government, Asian American Service Club, Knitting Club, Dance Club, MOUSE Squad, School Magazine","New York Road Runners Team",NA,NA,"International School","Flatiron District","10,003",13,2,40.735387,-73.9878639,"40 Irving Place
New York, NY 10003
(40.735387, -73.9878639)","MANHATTAN",2,"50",NA,NA,NA,NA,"1","0","0","1","0","0"
"41","02M439","M439","Manhattan Village Academy","413",NA,"Latin, Spanish","Calculus AB, English Literature and Composition, Environmental Science, United States History","Art Club, Book Club, Chess, Conflict Resolution and Mediation, Creative Writing and Journalism, Delta Club, Instrumental Music, Manhattan Village Academy (MVA) Spirit Week Committee, Mole Day, Music Composition, Pi Day, Science Fair, Student Council, Tour Guide",NA,NA,NA,NA,"Flatiron District","10,010",13,2,40.7419485,-73.9923091,"43 West 22 Street
New York, NY 10010
(40.7419485, -73.9923091)","MANHATTAN",3,"58",97.8,82,98,76.7,"0","1","1","1","0","0"
"42","02M449","M449","Vanguard High School","438",NA,"Spanish","Calculus AB","Student Voice Collaborative, City Explorers, Fit and Fly at New York Sports Club, Leadership, Athletic and Tutoring Programs at Vanderbilt YMCA, Radio Rootz, Tutoring in major subject areas, Vanguard Movement, Vanguard Student Government, WNYC Radio Rookies, Drama Club, Fashion Club",NA,NA,NA,NA,"Upper East Side","10,065",19,2,40.765295,-73.959933,"317 East 67 Street
New York, NY 10065
(40.765295, -73.959933)","MANHATTAN",5,"118",66.3,35.1,71.4,55.1,"0","1","1","1","0","0"
"43","02M459","M459","Manhattan International High School","317","International School",NA,"Calculus AB","Before- and After-school Tutoring, Computer Club, Dance, Digital Imaging, Editing, Guitar, Human Rights Club, Instrumental Music (lessons), Kaplan SAT Prep, Regents Prep, SAT Prep, School Newspaper, Stock Market, Student Government, Video Production, Yearbook","Intramural Sports; Manhattan International High School athletes join students of the Julia Richman Educational Campus schools to compete in the Public Schools Athletic League (PSAL).",NA,NA,"International School","Upper East Side","10,065",19,2,40.765295,-73.959933,"317 East 67 Street
New York, NY 10065
(40.765295, -73.959933)","MANHATTAN",5,"118",58.5,39.1,63.6,49.2,"1","1","0","1","0","0"
"44","02M475","M475","Stuyvesant High School","3,286","Specialized School","Chinese (Mandarin), French, German, Italian, Japanese, Latin, Spanish","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science AB, Economics: Macro, Economics: Micro, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language, Government and Politics: Comparative, Government and Politics: United States, Italian Language and Culture, Japanese Language and Culture, Latin Literature, Music Theory, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Psychology, Spanish Language, Spanish Literature, Statistics, United States History, World History","Accelerated courses, Student Union, Yearly public performances (chamber music recitals, comedies, concerts, dramas, musicals, theater productions); more than 200 clubs and 30 publications",NA,NA,NA,"Specialized School","Battery Park City","10,282",1,2,40.7179707,-74.0140348,"345 Chambers Street
New York, NY 10282
(40.7179707, -74.0140348)","MANHATTAN",1,"31,703",98.5,85.4,99.4,98.7,"0","1","1","1","0","0"
"45","02M489","M489","High School of Economics and Finance","757",NA,"Spanish","Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, European History, Spanish Language, United States History","Stock Market Game, Art, Arts Festival and Talent Show, Big Brothers Big Sisters, Career Day, Chess, Drama, Euro Challenge, Fashion Show, Fed Challenge, Gay/Straight Alliance, Kaplan SAT Prep, Literary Magazine, Math Team, National Honor Society, Principal's Consultative Council, SPARK Youth Leadership, Strategic Gaming, Student Government, Tutoring, Yearbook, Young Professionals Mentoring Program (YPMP)","The following sports teams are school clubs: Dance, Fitness, Soccer, Volleyball, Weightlifting, Yoga.","Environmental Science","French",NA,"Financial District","10,006",1,2,40.7089777,-74.0122017,"100 Trinity Place
New York, NY 10006
(40.7089777, -74.0122017)","MANHATTAN",1,"13",82.9,77.8,81.2,73.6,"1","1","1","1","1","1"
"46","02M500","M500","Unity Center for Urban Technologies","261",NA,"Spanish",NA,"After-school Tutorial Sessions, Chess, Film, Homework Help, Photography, Saturday Academy, Student Council","Baseball, Basketball, Fitness, Soccer, Volleyball",NA,NA,NA,"Kips Bay","10,016",14,2,40.7463587,-73.9811433,"111 East 33 Street
New York, NY 10016
(40.7463587, -73.9811433)","MANHATTAN",2,"72",65.5,52.7,70,50,"1","0","1","1","0","0"
"47","02M507","M507","The Urban Assembly Gateway School for Technology","248","CTE School","Spanish","Art History, Calculus AB, Computer Science AB, English Language and Composition, Physics B, Spanish Language, Studio Art: 3-D Design, United States History","Individualized Peer and Teacher Tutoring, 3-D Modeling, Big Brothers Big Sisters (American Express), CoderDojo, Cooking Club, Drama, Film Production, Gamer Haven, Homework Help, Martial Arts, MMO 3.0 (Massive Multiplayer Online Games) Club, Math Club, Media Crew, Men of Strength, Moth StorySlam, MOUSE Squad - Beginner and Advanced, Regents Preparation, Robotics, JROTC, Skateboarding with Stoke, Student Government, Technovation Challenge (App-Design for Girls), Yearbook","Flag Football, Running, Skateboarding, Weight Training, Yoga",NA,NA,"CTE School","Hell's Kitchen","10,019",18,2,40.7636131,-73.9911482,"439 West 49 Street
New York, NY 10019
(40.7636131, -73.9911482)","MANHATTAN",3,"127",NA,NA,NA,NA,"1","1","1","1","0","0"
"48","02M519","M519","Talent Unlimited High School","517",NA,"Spanish","Biology, Chemistry, English Literature and Composition, United States History","Arista, Career-based Internships, Chess, Citywide performances in Vocal Music, Community Service Outreach, Dance, Drama, Extended Day Tutoring in all academic and arts subjects, Film, Gospel Choir, Hip-Hop, Improv Comedy, Mentoring, Musical Theatre & Instrumental Music, SAT Prep, Saturday School, School Newspaper, Step Team, Student Government, Weight Room, Yearbook",NA,NA,NA,NA,"Upper East Side","10,065",19,2,40.765295,-73.959933,"317 East 67 Street
New York, NY 10065
(40.765295, -73.959933)","MANHATTAN",5,"118",95.2,75,95.6,82.1,"0","1","1","1","0","0"
"49","02M520","M520","Murry Bergtraum High School for Business Careers","1,792",NA,"Chinese, Spanish","Art History, Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, United States History","Alumni Mentoring Program, Conflict Resolution, Explorers Post 521, Fresh Start Mentoring for 9th graders, Honor Society for Young Men of Color, Lincoln-Douglas Debate Team, Math Team, Mock Trial Moot Court Competition, National Honor Society, Principal's Council, Senior Council, Student Government, Virtual Enterprise Competition",NA,NA,NA,NA,"Two Bridges","10,038",5,2,40.7110316,-74.0013216,"411 Pearl Street
New York, NY 10038
(40.7110316, -74.0013216)","MANHATTAN",1,"29",65.8,42.6,61.7,42.2,"0","1","1","1","0","0"
"50","02M529","M529","Jacqueline Kennedy Onassis High School","720",NA,"Spanish","Biology, Calculus AB, English Language and Composition, English Literature and Composition, Spanish Literature, United States History, World History","Art Exhibitions, Community Service, Dance, Debate, Journalism, Math, Model UN, Musical Performances, National Honor Society (NHS), Peer Mediation, Peer Tutoring, Science Fair, Teen Awareness, Theatrical Performances, Upward Bound and REACH Program for Advanced Placement, Yearbook","Basketball",NA,NA,NA,"Theatre District","10,036",18,2,40.7579023,-73.9834821,"120 West 46 Street
New York, NY 10036
(40.7579023, -73.9834821)","MANHATTAN",4,"119",61.3,42.8,68.5,39.8,"1","1","1","1","0","0"
"51","02M531","M531","Repertory Company High School for Theatre Arts","223",NA,"Spanish",NA,"Annual Fall Play, Career Development, Chorus, Creative Writing, Dance Rep Co., Repertory Ensemble, Spring Musical Production, Student Council, Teen Talk Radio, Theatre Ensemble, Yearbook",NA,NA,NA,NA,"Theatre District","10,036",14,2,40.7560872,-73.9845642,"123 West 43 Street
New York, NY 10036
(40.7560872, -73.9845642)","MANHATTAN",4,"119",80,36.7,91.3,62.5,"0","0","1","1","0","0"
"52","02M533","M533","Union Square Academy for Health Sciences","124","CTE School",NA,NA,"More than twenty campus clubs are offered.","Baseball, Basketball, Soccer, Softball, Step Team, Volleyball",NA,NA,"CTE School","Flatiron District","10,003",13,2,40.735387,-73.9878639,"40 Irving Place
New York, NY 10003
(40.735387, -73.9878639)","MANHATTAN",2,"50",NA,NA,NA,NA,"1","0","0","1","0","0"
"53","02M534","M534","Harvest Collegiate High School","125",NA,"Portuguese, Spanish","Art History, Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language, Statistics","Theater productions with professional company-in-residence Improbable Stage Co., Robotics, Sailing and Boatbuilding, Ambassadors, Art Club, Cooking, Fairness, Jazz Band, Filmmaking, GSX, Girls' Group, Mock Trial, Outdoors, Peer Mediation, Photography, Principal's Book Club, SAT Prep, Step Team, Student Government, Writing Center, Workout, Yoga",NA,NA,NA,NA,"Greenwich Village","10,011",6,2,40.7366535,-73.9955421,"34 West 14 Street
New York, NY 10011
(40.7366535, -73.9955421)","MANHATTAN",3,"63",NA,NA,NA,NA,"0","1","1","1","0","0"
"54","02M542","M542","Manhattan Bridges High School","561","International School","Spanish","Calculus AB, Economics: Macro, English Language and Composition, Spanish Language, Spanish Literature, Statistics","Academic Intervention Services (Extended Day), Art, Book Club, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, iMentor, International Center for Photography, Internships, Career Exploration Job Shadowing, Junior Achievement of New York, Mentoring, MOUSE Squad, Music Club, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga","Running Club, Workout Club",NA,NA,"International School","Hell's Kitchen","10,019",18,2,40.7653384,-73.9931088,"525 West 50 Street
New York, NY 10019
(40.7653384, -73.9931088)","MANHATTAN",3,"135",77.6,48.2,87.3,51.7,"1","1","1","1","0","0"
"55","02M543","M543","New Design High School","431",NA,"Spanish","English Literature and Composition","Academic Support, Animation, Community Service, Dance, Filmmaking, Governor's Committee on Scholastic Achievement (GCSA), SAT Prep, Internship Center for Urban Pedagogy (CUP), Poets and Playwrights, Urban Arts Peapod Academy, Yearbook, Youth Empowerment Leadership for Boys and Girls; Partnership programs in art, media, music production, theater, playwriting, poetry, and photography","Basketball",NA,NA,NA,"Lower East Side","10,002",7,2,40.717321,-73.989323,"350 Grand Street
New York, NY 10002
(40.717321, -73.989323)","MANHATTAN",1,"18",72.2,34.7,79.3,47.8,"1","1","1","1","0","0"
"56","02M545","M545","High School for Dual Language and Asian Studies","388",NA,"Chinese (Mandarin)","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, Human Geography, Statistics, United States History","Academic Enrichment, Art, Bridge, Chess, Chinese Culture and Enrichment, College Prep, Gallery Exhibits, Intramural Basketball, Kaplan SAT Prep, Math Research, Math Team, Peer Tutoring, Ping-Pong, PM School, Saturday Cultural Discovery Program (Explore NYC), Saturday ESL Classes","Badminton, Ping-Pong, Saturday Fitness, Swimming, Team Sports",NA,NA,NA,"Lower East Side","10,002",7,2,40.717321,-73.989323,"350 Grand Street
New York, NY 10002
(40.717321, -73.989323)","MANHATTAN",1,"18",97.4,87,92.5,94.8,"1","1","1","1","0","0"
